"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/03/31","出金 セブン-イレブン那覇泊2丁目店","-514","沖縄銀行","食費","食料品","","0","NCHRFQdLc5qwY9UMBAOOdnzKwS3TDHX9CAh9p_ngx9Q"
"1","2026/03/31","サラダチキン","-514","なし","食費","食費","","0","vFr1HdHoWLQHSNCu-60tGAAmrRYrnDjA2gY_vNfsv74"
"1","2026/03/30","出金 3328ふく薬品おもろまち店","-1307","沖縄銀行","現金・カード","カード引き落とし","","0","495OUXkonijsuJL4WgpNd1fIgnvfIID8u_LBUBlPgCQ"
"1","2026/03/30","出金 エディオン","-1450","沖縄銀行","現金・カード","カード引き落とし","","0","wmaJy6Neyi6fw1BG8qP3rMybLgXen_wsXe11_N7bGlw"
"1","2026/03/30","出金 大阪王将サンエーパルコシティ","-2090","沖縄銀行","現金・カード","カード引き落とし","","0","au0blHsZ9aNc1EHB1CSa6mPWhl70f_TGxbDQL1gESKw"
"1","2026/03/30","出金 ローソン・ユナイテッドシネマ 浦添","-1100","沖縄銀行","現金・カード","カード引き落とし","","0","_xxHyyIqB__fEPjjfRS1FwaorEzOcrZJ3NtZrTjRsmw"
"1","2026/03/30","出金 サンエー浦添西海岸 PARCO CITY","-460","沖縄銀行","現金・カード","カード引き落とし","","0","f6zL6mMPJ9RxWol941oZQZAJPNdvGAO4UekGK4hZ7i8"
"1","2026/03/30","ふく薬品","-1307","なし","食費","食料品","","0","KmhTAZyneucj8ULwAaCjtznFqKh5GlfTROGdQpcdW2w"
"1","2026/03/30","ケーブル","-1450","なし","趣味・娯楽","映画・音楽・ゲーム","","0","nBnAOsYf5EdZkYH9kvaLWh2Go6esHwJV8aU-sm1PU0s"
"1","2026/03/30","サンエー浦添　西海岸パルコシティ","-2090","なし","食費","食費","","0","zBAympB5lkXFAfyKPwYGO5siSBg3LzuAm09Rt6HBIyQ"
"1","2026/03/30","ポップコーン","-1100","なし","食費","食費","","0","NMy9Ooitg8oWQDwq6Wt5By-rwmgLqXM8HxDRIwZQqoU"
"1","2026/03/30","スタバパルコ","-460","なし","食費","食費","","0","pH3yFOFUllw8oQ35Lhb5TvZr2_c2muUj7QwzMh8IVaY"
"1","2026/03/30","ガソリン","-635","財布","自動車","ガソリン","","0","3no-4YeAjmvA00gBrgBF6GgWOz--vN04KdUd60uIV7o"
"1","2026/03/28","オーディブル","-1000","財布","交際費","プレゼント代","","0","jHktGrfOWA7I0wA2Yl69CMRN9yex8vlDDOj36EHPZ_Y"
"1","2026/03/28","オーディブル飲み会","-3850","財布","交際費","飲み会","","0","r3ofnWXMS8GvhfSqKha37N5uxXiFqO9bLoLc1gn1i6E"
"1","2026/03/27","出金 セブン36978-0595","-10000","沖縄銀行","日用品","その他日用品","","0","9sj5DwYxdUHsNXcZ58ep__KnWkhsei1wn6bfzkDKxv0"
"1","2026/03/27","出金 3328ふく薬品おもろまち店","-416","沖縄銀行","現金・カード","カード引き落とし","","0","ZugoauBOVDb3xVpSiVP2vnTCDChmME2vYPHkteDRgac"
"1","2026/03/27","出金 Cafe ONEOREIGHT/Air","-580","沖縄銀行","現金・カード","カード引き落とし","","0","GtEinyYVWiMJNsOcDZWwzLRhAVJD0zVSp3CmizXvUAI"
"1","2026/03/27","sps定例会","-800","財布","交通費","タクシー","","0","KRR8wpBAarg-3f-OE0WgwYgzb1XJVEkgHf6uRb6BAVM"
"1","2026/03/27","sps定例会","-4000","財布","交際費","飲み会","","0","dbjEdZHsO7ECAcgKPO2UJHFCiMuRkjY34M7CYkt1ya0"
"1","2026/03/27","ふく薬局","-416","なし","食費","食料品","","0","vB4eLUjyfzbrwygbT_ZAxGd8aXEqoYEXXvV9Brzm8U0"
"1","2026/03/27","ONEOR8","-580","なし","食費","食費","","0","PumXyZh95h2nEhC2dPDgNMtI37cUhlDkZbKTNcLG3v0"
"1","2026/03/26","一玄","-2000","財布","交際費","飲み会","","0","oJDdFyMpFTYir4KzO4xIdBd4rybuT5DqOLWz-1RS-kc"
"1","2026/03/25","出金 ドン・キホーテ国際通り店","-10798","沖縄銀行","現金・カード","カード引き落とし","","0","UDLhlIjS9_EkH5IDxFV9Azd0tvfA758jowuavtnl-D0"
"1","2026/03/25","出金 ファミリーマート 天久一丁目","-219","沖縄銀行","現金・カード","カード引き落とし","","0","qd6zuSkKtvnis2RnRT5ZVYTGkRcgSBt0l_vU6W1l9r8"
"1","2026/03/25","プロテイン3k","-10798","なし","食費","食料品","","0","BYkFEKp9UZZVJmyEytSUCF5Mn0FSzyydby0CQN7UVl0"
"1","2026/03/25","ファミリーマート天久1丁目店","-219","なし","食費","食料品","","0","DIXF1NqSf3v_bUnLjRrGNZPF2lqynbXrhfvm0NW2ZXs"
"1","2026/03/25","やっぱりステーキ","-1900","なし","食費","食費","","0","rOQHS0x-vt5ozNi_KHCYTx7l26PHOQL-3T_LNkILHUw"
"1","2026/03/24","出金 やっぱりステーキ港川ピーズタウン店","-1900","沖縄銀行","食費","食費","","0","-4VceGSumuF9D6vEAcO2_ap-AdWvmJwvKS_r7u_n2UI"
"1","2026/03/24","出金 ソウキン ヤマシタ アツシ","-30269","沖縄銀行","住宅","管理費・積立金","","0","TdSvkxhh0wcX7zp6ZElRKiL14-OHU1AeT47lZxY1cIw"
"1","2026/03/24","出金 ソウキン ヤマシタ アズサ","-10003","沖縄銀行","住宅","家賃・地代","","0","JcU084teZAeac1ngOu0BvT53XwqUtBytIFCtlJEgE7U"
"1","2026/03/24","出金 ソウキン ヤマシタ アズサ","-29999","沖縄銀行","住宅","家賃・地代","","0","m8c6OF8phbs4x-1nq3hwvKBhx0jTjCHWk_0LmBecNgs"
"1","2026/03/24","出金 ソウキン ヤマシタ アズサ","-29999","沖縄銀行","住宅","家賃・地代","","0","QeQs10nSD6vbEeaHbcUb78HKl5lymlJoQ4CKLJ-z97A"
"1","2026/03/24","出金 ソウキン ヤマシタ アズサ","-29999","沖縄銀行","住宅","家賃・地代","","0","ROxkrpEZiYWN4oofcRlOGuQP8Lscun-_dWOwpTGNLWY"
"1","2026/03/24","入金 ニホンコンセントリクス(カ","227132","沖縄銀行","未分類","未分類","","0","sHF4vVF5y43lf3uEue0s_jWqKXHFk2ooWDhjR91JAec"
"1","2026/03/24","ヤマシタ アツシ","29999","琉球銀行","未分類","未分類","","0","s2Uw3gjXWee13UG1EGJf5_OViCGxGwpLzEI1aW61XH4"
"1","2026/03/23","出金 快活CLUB 那覇安謝店","-4840","沖縄銀行","現金・カード","カード引き落とし","","0","HRP7I_HFSsuvLW95kU-vMj8qEbhFpEcTEqaVdx0VV1w"
"1","2026/03/23","出金 イオン琉球SM","-1265","沖縄銀行","現金・カード","カード引き落とし","","0","F2Y6-jkp-kLXYotw7d8ZlwcRXvWolmNLriWoBAadGWI"
"1","2026/03/23","出金 ファミリーマート 那覇国際高校前","-321","沖縄銀行","現金・カード","カード引き落とし","","0","YY0KmcGn6LK3pkMIxI167FKXFOa_yowkEbw7sYuueAQ"
"1","2026/03/23","快活CLUB","-4840","なし","趣味・娯楽","その他趣味・娯楽","","0","Ayg6MjTKkUCXIkXb72kngmm8i1nVSYmZ70hA7lAHbPc"
"1","2026/03/23","マックスバリュ 安謝店","-5","なし","食費","食料品","","0","MR4fsI_tRf9xy_qTud91THuOWX5cuHgbRBZhU4K_Kto"
"1","2026/03/23","マックスバリュ 安謝店","-1265","なし","食費","食料品","","0","aMLpSK3FE1uo1WqhnWocMWbS1zUg_psNurRvhbhVja0"
"1","2026/03/23","ファミリーマート 那覇国際高校前店","-321","なし","食費","食料品","","0","cpUC2lahgu1OLVM1Gb83JUlIXUisn7tNyEA0N7f50F4"
"1","2026/03/22","","-433","なし","食費","食費","","0","D2jyOJIrOZUO7OGThPFtME-sPyb1_62QJ_3eTQgwt4c"
"1","2026/03/22","","-544","なし","食費","食費","","0","mu-dhpBvRuhLqu0zj5hkEqelpYkOCC1fz6ne8FVJtls"
"1","2026/03/17","出金 那覇メインプレイス〔食品〕","-2364","沖縄銀行","現金・カード","カード引き落とし","","0","SZM9HTtpXD63a53SlLjADQeAzxlBkTwD0pJFfImyMMA"
"1","2026/03/17","出金 沖縄県立博物館美術館","-530","沖縄銀行","現金・カード","カード引き落とし","","0","eDgSecPNplGyCGrNYytrmH-4WmiokvRiMqjjD_benFQ"
"1","2026/03/17","出金 スターバックスコーヒー","-1080","沖縄銀行","現金・カード","カード引き落とし","","0","Pwhylvw5UTXW9o7gyfmwRTIm9_gLYZVIs8ePIFRZ0sI"
"1","2026/03/16","出金 高良レコード店","-5990","沖縄銀行","現金・カード","カード引き落とし","","0","t2O9W5PsrAhWZWV_qVk92B12Uv7rS7OLn5j1W0kwYCw"
"1","2026/03/16","出金 Francfranc 沖縄リウボウ店","-1040","沖縄銀行","日用品","日用品","","0","ne6RH1LNl5hsVdwwTtbBeP02B30mLRY8no62tW_3Dfs"
"1","2026/03/16","出金 リウボウストア","-913","沖縄銀行","食費","食費","","0","CoVvMKkH6sx2aUxTnIV4Z96ObexIGpUb2QFkfEJP-Bw"
"1","2026/03/16","出金 RYUBO FOODHALL","-880","沖縄銀行","現金・カード","カード引き落とし","","0","8_rrpMY23L86l9O-4ZJL7aFrmA-Cu9_8cgXfoz37CZU"
"1","2026/03/12","出金 ファミリーマート 那覇バスターミナル","-969","沖縄銀行","食費","食料品","","0","MN1kuSayGVf3sMExHdvmruXpqFDoCuS2JqYZgN70aFY"
"1","2026/03/12","出金 那覇メインプレイス〔食品〕","-3024","沖縄銀行","食費","食料品","","0","9-wtpqZDoySC5m6P8RJ0aYmP7Oa-dqaP_GJggPQqb10"
"1","2026/03/09","入金 決算お利息","54","沖縄銀行","収入","その他入金","","0","P4qR93r1idzmQukql7LNfbEnx6K4Xip554bhNBQSbSI"
"1","2026/03/08","出金 カ-ド利用手数料","-110","沖縄銀行","その他","雑費","","0","_1kCKujtV_R9gJteNMOkYyg0xCVzn46KG-Wm-igvOWo"
"1","2026/03/08","出金 ENET081486-775","0","沖縄銀行","現金・カード","ATM引き出し","","0","9-IiELfKyxAOkaMGLuczO1XF4mvmk6n1sEVGQBC-N5w"
"1","2026/03/08","出金 RT-ペイビ-","-6524","沖縄銀行","水道・光熱費","ガス・灯油代","","0","fzpn_vCHTBhR7DiB7aneP523umho9Nf9vjtoGSNjg4w"
"1","2026/03/06","出金 セブン35814-0247","-10000","沖縄銀行","日用品","その他日用品","","0","tm4m-rDuqqo-FhvCmfHyUpPGirD58_CJMMk-sx0dxd8"
"1","2026/03/05","出金 メイクマン 美浜店","-348","沖縄銀行","日用品","日用品","","0","yd3-ainMAxtnIcubsHHbt1MZnFQnU62lQ6gn69ye0tE"
"1","2026/03/05","出金 メイクマン 美浜店","-330","沖縄銀行","未分類","未分類","","0","a29KeqnQu8P3mUzZrJZmoXWImwp_3H7WhinfsXPjSgg"
"1","2026/03/05","出金 スターバックスコーヒー","-671","沖縄銀行","食費","カフェ","","0","DnF_52xkHUvVuWlJh8KHSq7hiYOAz2YIAPqL6-uOjqI"
"1","2026/03/03","出金 ドン・キホーテ那覇壷川店","-407","沖縄銀行","日用品","日用品","","0","5nZL1gpLClhQcVPpFGZ-GSW_NIqjZCc5OrzMWymnalY"
"1","2026/03/03","出金 ドン・キホーテ那覇壷川店","-4398","沖縄銀行","日用品","日用品","","0","j-qRFhGOL3bfj85xDXfAxhf1ovB5EfzRtrwOR_zfgiQ"
"1","2026/03/03","出金 TOHAN書店利用分","-7590","沖縄銀行","教養・教育","書籍","","0","t9s7qNY8QDMg45Lw2d39HZ1QnsV9sbC5T__iNc0vrxg"
"1","2026/03/03","出金 スターバックスコーヒー","-730","沖縄銀行","食費","カフェ","","0","0_Bb3CV-T_39nVZg0FFpBG3QCai2i3GteKgOQHSPWmY"
"1","2026/03/01","出金 サンエーV21食品館銘苅店","-1046","沖縄銀行","食費","食料品","","0","pQPkZCspueZiAcIud1jxhFP_2zcoWKlXWA0tcq4sU4o"
