"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2026/04/15","セブン‐イレブン 那覇泊2丁目","-514","なし","食費","食費","","0","RMSKz5SlhVkkhiEKinTA1xBSUpQsw_M9EfhEhBuJ-ow"
"1","2026/04/13","出金 RT-ペイビ-","-4592","沖縄銀行","水道・光熱費","ガス・灯油代","","0","haz2EjRhjonQSH5GBgHo8zO7Dl3-Rle4KUqk9Q3Jmy4"
"1","2026/04/13","出金 JCBDEBIT806331","-1802","沖縄銀行","現金・カード","カード引き落とし","","0","ob9_0XHii3jwdmvTBGdKvMjOiIhoPuB11APZbbi6TQk"
"1","2026/04/13","出金 JCBDEBIT557947","-1210","沖縄銀行","現金・カード","カード引き落とし","","0","mYPM8zVUE2A0j8uwH1wAExXguXYr79sn2WnX7oFxANQ"
"1","2026/04/13","出金 JCBDEBIT255925","-138","沖縄銀行","現金・カード","カード引き落とし","","0","KCJavbMmNEzezP6WPDjfZiH40SIpI5NXxWIJ-6PeH_s"
"1","2026/04/13","ふく薬品 おもろまち店","-1802","なし","食費","食料品","","0","GEc8lmbdyf8gtgXNTxBlMzOE2BHOdnLFMpUTGKD6-i8"
"1","2026/04/13","ドン・キホーテ 那覇壺川店","-1210","なし","食費","食費","","0","of6w7pdxvc3nkde1eDThWd6BYi088QXqv0OD6NKwBJQ"
"1","2026/04/13","ファミリーマート那覇バスターミナル店","-138","なし","食費","食費","","0","6FxxLMtNP0vSWf_u2Yf1kpb4g6bru6xCClawy1Hq8Z4"
"1","2026/04/11","出金 3328ふく薬品おもろまち店","-1993","沖縄銀行","現金・カード","カード引き落とし","","0","oTgKtdYtKtcKcBSgcttRlsdoHO54m7Kx8x0t8GvQjbo"
"1","2026/04/11","ふく薬品 おもろまち店","-1993","なし","日用品","ドラッグストア","","0","d8iLIaDlgvk7bx-liUOUzzs0-F1bvNXO9xYJpD9ztO0"
"1","2026/04/09","出金 AMAZON.CO.JP","-1080","沖縄銀行","現金・カード","カード引き落とし","Amazon MUSIC standar","0","31rwJg1s2evumRuH4L2HYV07Q2jhZYgZZpqwBBHp1A0"
"1","2026/04/08","出金 リウボウストア","-869","沖縄銀行","現金・カード","カード引き落とし","","0","QTuFfpFRISvIDQbmmRWP-yq4VuulpNSfhMVQdko89ks"
"1","2026/04/08","天久りうぼう楽市","-869","なし","食費","食費","","0","UUZ71vDJlGQIvjvIZ199L9wGaBhsMHAVFInKWJZZn8g"
"1","2026/04/08","出金 APPLE.COM/BILL","-590","沖縄銀行","現金・カード","カード引き落とし","","0","gqzyC2kPSA5teQhb76Pn0KFTgrcoTOKEmq0S-hSWV80"
"1","2026/04/08","出金 セブン-イレブン那覇天久1丁目店","-749","沖縄銀行","現金・カード","カード引き落とし","","0","az54AgYtAfKrhYOgQ7TFNuVIqYONLXUPIcP4_HqaUdc"
"1","2026/04/08","セブンイレブン那覇天久1丁目店","-749","なし","日用品","日用品","","0","B0c-RvL_HaAirdKFNiXPsP5KkANYJY-y6xqE3E9vK7M"
"1","2026/04/05","出金 3328ふく薬品おもろまち店","-460","沖縄銀行","現金・カード","カード引き落とし","","0","Yw2na6x1LW7ktFX452M4vryvmiKleuDU4opQfvI77v0"
"1","2026/04/05","出金 すき家","-1070","沖縄銀行","現金・カード","カード引き落とし","","0","kQZWqRLzFAIgfBOdYSfKuVFwPJEqWLKwozO9DVBLCC0"
"1","2026/04/05","出金 スターバックスコーヒー","-685","沖縄銀行","現金・カード","カード引き落とし","","0","SdxCOoXMyeaVW9I5si35SMr_3Xi6pt8ReFd_cRq1XCA"
"1","2026/04/05","ふく薬品 おもろまち店","-460","なし","食費","食費","卵　野菜","0","ShKWumG42H3RQ8IjPM8JewDv7PyShwUecoU9XALVS4g"
"1","2026/04/05","すき家","-1070","なし","食費","食費","","0","N9HHTYi7qRPU-scI7Vgbq3wtcrE_RpC3bHw59Nvj6Z0"
"1","2026/04/05","スタバ","-623","なし","食費","食費","","0","x34TGB-ZjgZHdaTlkbCwBQyZ8ppfHA26N_oE2P4RKj0"
"1","2026/04/04","出金 業務用食品ス-パ- 安謝店","-3335","沖縄銀行","現金・カード","カード引き落とし","","0","376d57SALMs2lhm5G9hiSttAIEhf822DjXEm5E3k4nU"
"1","2026/04/04","出金 3328ふく薬品おもろまち店","-342","沖縄銀行","現金・カード","カード引き落とし","","0","I5yqLJPnp7J6kIZUEmmSZ4rso80CKA9lubpeUBnJMsY"
"1","2026/04/04","業務スーパー","-3335","なし","食費","食費","","0","m27vBdJWYNO3nbSUVyxnD1smEUEh2b0M2MCxuOMk-gs"
"1","2026/04/04","","-342","なし","食費","食費","","0","QWFAfPanJeFpTUsU0Iexk82lJ5ctwxwbSQ5mu8a7sQs"
"1","2026/04/03","入金 JCBDEBIT065653","18","沖縄銀行","未分類","未分類","","0","21KF47GJKSluBqrJIjx5CcnijiTin9fhVdFbWPvmA2Q"
"1","2026/04/03","出金 3328ふく薬品おもろまち店","-4720","沖縄銀行","現金・カード","カード引き落とし","","0","787utaQp_j9V4KAQL1CYHZ46zQsixJY6C7-sSpBD6Bs"
"1","2026/04/03","サプリメント","-4720","なし","食費","その他食費","","0","EzmSDMryU9T9rVU1p8EqxlDNQEkBdqzCoaUXwTjCO_Q"
"1","2026/04/02","出金 セブン-イレブン那覇前島2丁目店","-790","沖縄銀行","現金・カード","カード引き落とし","","0","t9qEgyq5XTtEvydnvuOSgA0DlVd4QwjT4L9jbWMQZM0"
"1","2026/04/02","タバコ","-790","なし","交際費","飲み会","","0","J6Aio8Pq3ojAxvwc8SKQ1hGYgGyCZoiAHgCop5pkiGs"
"1","2026/04/01","出金 JCBDEBIT065653","-3343","沖縄銀行","現金・カード","カード引き落とし","","0","jciNH9VzCwFnT5nKckpsH9Ay8kEwp7vtQdVb6dYlxPI"
